subject_id,workflow_id,task,reducer,data.aligned_text,data.number_views,data.consensus_score,data.consensus_text,data.gold_standard,data.user_ids,data.aggregation_version
73228832,20989,T0,text_reducer,"[['18240209', '18240209', '18240209', '18240209']]",4,4.0,18240209,"[False, False, False, False]","[1926730.0, 2425893.0, 1243179.0, 2335085.0]",3.6.0
73228833,20989,T0,text_reducer,"[['18310106', '18310106', '18310106']]",3,3.0,18310106,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228835,20989,T0,text_reducer,"[['18201101', '18201101']]",2,2.0,18201101,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228836,20989,T0,text_reducer,"[['18311203', '18311203']]",2,2.0,18311203,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228837,20989,T0,text_reducer,"[['18201218', '18201218', '18201218']]",3,3.0,18201218,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73228840,20989,T0,text_reducer,"[['18231111', '1823111', '18231111']]",3,2.0,18231111,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228841,20989,T0,text_reducer,"[['18190320', '18190320']]",2,2.0,18190320,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228842,20989,T0,text_reducer,"[['18310319', '18310319']]",2,2.0,18310319,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228843,20989,T0,text_reducer,"[['18261218', '18261218']]",2,2.0,18261218,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228844,20989,T0,text_reducer,"[['18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '18210104', '1821-01-04', '18210104', '18210104', '18210104', '18210104', '18210104']]",25,24.0,18210104,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[2436939.0, 2335085.0, 1243179.0, 2425893.0, 474239.0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",3.6.0
73228846,20989,T0,text_reducer,"[['18251017', '18251017', '18251017', '18251017', '18251017', '18251017', '18251017']]",7,7.0,18251017,"[False, False, False, False, False, False, False]","[2425893.0, 2335085.0, 2438089.0, 1243179.0, 474239.0, 2436939.0, nan]",3.6.0
73228861,20989,T0,text_reducer,"[['18201102', '18201102', '18201102']]",3,3.0,18201102,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228862,20989,T0,text_reducer,"[['18190112', '18190112']]",2,2.0,18190112,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228865,20989,T0,text_reducer,"[['no', 'no', 'No'], ['date', 'date', 'date']]",3,2.5,no date,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228870,20989,T0,text_reducer,"[['18210310', '18210310', '18210310', '18210310']]",4,4.0,18210310,"[False, False, False, False]","[1926730.0, 2425893.0, 1243179.0, 2335085.0]",3.6.0
73228872,20989,T0,text_reducer,"[['18190215', '18190215', '18190215']]",3,3.0,18190215,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228874,20989,T0,text_reducer,"[['18230204', '18230204']]",2,2.0,18230204,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228875,20989,T0,text_reducer,"[['18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115', '18311115']]",20,20.0,18311115,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[nan, nan, nan, nan, nan, nan, nan, 2425893.0, nan, 2335085.0, nan, nan, nan, nan, nan, 1243179.0, 2436939.0, 474239.0, nan, nan]",3.6.0
73228876,20989,T0,text_reducer,"[['18190122', '18190122', '18190122']]",3,3.0,18190122,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228884,20989,T0,text_reducer,"[['18231201', '18231201']]",2,2.0,18231201,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228885,20989,T0,text_reducer,"[['18310212', '18310212', '18310212']]",3,3.0,18310212,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228889,20989,T0,text_reducer,"[['18181217', '18181217']]",2,2.0,18181217,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228892,20989,T0,text_reducer,"[['18261120', '18261120']]",2,2.0,18261120,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228893,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(Dec', ''], ['22)', '']]",2,1.25,no year (Dec 22),"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228895,20989,T0,text_reducer,"[['18181230', '18181230', '18181230', '18181230']]",4,4.0,18181230,"[False, False, False, False]","[1926730.0, 2425893.0, 1243179.0, 2335085.0]",3.6.0
73228896,20989,T0,text_reducer,"[['18231127', '18231127', '18231127']]",3,3.0,18231127,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228898,20989,T0,text_reducer,"[['No', 'no', 'no', 'no', 'no', 'No', '', 'No', 'no', 'No', 'no', '', 'no', 'no', 'no'], ['year,', 'year', 'year', 'year', 'year', 'year', '', 'year', 'year', 'year', 'year', '', 'year', 'year', 'year0309'], ['', '', '', '(March', '', '', '', '', '', '', '', '', '', '', ''], ['0309', '', '', '9)', '0309', '', '????0309', '', '', '', '', 'XXXX0309', '', '', '']]",15,5.75,no year (March 0309,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[2436939.0, 2335085.0, 1243179.0, 2425893.0, 474239.0, 1926730.0, nan, nan, nan, nan, nan, nan, nan, nan, nan]",3.6.0
73228902,20989,T0,text_reducer,"[['18210426', '18210426']]",2,2.0,18210426,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228903,20989,T0,text_reducer,"[['no', 'no', 'No'], ['year', 'year', 'year'], ['(December', '', ''], ['7)', '', '']]",3,1.75,no year (December 7),"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228904,20989,T0,text_reducer,"[['18311231', '18311231', '18311231']]",3,3.0,18311231,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228905,20989,T0,text_reducer,"[['18311015', '18311015', '18311015', '18311015']]",4,4.0,18311015,"[False, False, False, False]","[1926730.0, 2425893.0, 1243179.0, 2335085.0]",3.6.0
73228906,20989,T0,text_reducer,"[['18310228', '18310228', '18310228']]",3,3.0,18310228,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228907,20989,T0,text_reducer,"[['18211124', '18211124', '18211124']]",3,3.0,18211124,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228909,20989,T0,text_reducer,"[['18210227', '18210227', '18210227']]",3,3.0,18210227,"[False, False, False]","[2425893.0, 1243179.0, 2335085.0]",3.6.0
73228910,20989,T0,text_reducer,"[['18160131', '18160129', '18160131']]",3,2.0,18160131,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228911,20989,T0,text_reducer,"[['18310124', '18310124']]",2,2.0,18310124,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228913,20989,T0,text_reducer,"[['18151127', '18151127', '18151127', '18151127', '18151127']]",5,5.0,18151127,"[False, False, False, False, False]","[2425893.0, 2335085.0, 1243179.0, 474239.0, nan]",3.6.0
73228914,20989,T0,text_reducer,"[['18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418', '18230418']]",13,13.0,18230418,"[False, False, False, False, False, False, False, False, False, False, False, False, False]","[2438089.0, 2436939.0, 2335085.0, 1243179.0, 2425893.0, 474239.0, 1926730.0, nan, nan, nan, nan, nan, nan]",3.6.0
73228915,20989,T0,text_reducer,"[['18251220', '18251220', '18251220', '18251220', '18251220', '18251220', '18251220', '18251220']]",8,8.0,18251220,"[False, False, False, False, False, False, False, False]","[2425893.0, 2335085.0, 2438089.0, 1243179.0, 474239.0, 2436939.0, 1926730.0, nan]",3.6.0
73228916,20989,T0,text_reducer,"[['18180310', '18180310']]",2,2.0,18180310,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228919,20989,T0,text_reducer,"[['18231124', '18231124']]",2,2.0,18231124,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228920,20989,T0,text_reducer,"[['18220318', '18220318']]",2,2.0,18220318,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228921,20989,T0,text_reducer,"[['18181221', '18181221', '18181221']]",3,3.0,18181221,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73228922,20989,T0,text_reducer,"[['18311103', '18311103']]",2,2.0,18311103,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228923,20989,T0,text_reducer,"[['18190211', '18190211']]",2,2.0,18190211,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228928,20989,T0,text_reducer,"[['18180226', '18180226', '18180226']]",3,3.0,18180226,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228929,20989,T0,text_reducer,"[['18261211', '18261211', '18261211']]",3,3.0,18261211,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73228930,20989,T0,text_reducer,"[['18311004', '18311004', '18311004']]",3,3.0,18311004,"[False, False, False]","[2425893.0, 1243179.0, 2335085.0]",3.6.0
73228932,20989,T0,text_reducer,"[['18171210', '18171208']]",2,1.0,18171210,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228933,20989,T0,text_reducer,"[['18171231', '18171231']]",2,2.0,18171231,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228934,20989,T0,text_reducer,"[['18201122', '18201122']]",2,2.0,18201122,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228935,20989,T0,text_reducer,"[['18310210', '18310210', '18310210']]",3,3.0,18310210,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228936,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(Feb', ''], ['1)', '']]",2,1.25,no year (Feb 1),"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228937,20989,T0,text_reducer,"[['18311025', '18311025']]",2,2.0,18311025,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228938,20989,T0,text_reducer,"[['18211203', '18211203', '18211203']]",3,3.0,18211203,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228939,20989,T0,text_reducer,"[['18271119', '18271119', '18271119', '18271119', '18271119', '18271119', '18271119', '18271119']]",8,8.0,18271119,"[False, False, False, False, False, False, False, False]","[2425893.0, 2335085.0, 2438089.0, 1243179.0, 2436939.0, 474239.0, 1926730.0, nan]",3.6.0
73228942,20989,T0,text_reducer,"[['18281110', '18281110']]",2,2.0,18281110,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228944,20989,T0,text_reducer,"[['18270124', '18270124', '18270124', '18271024', '18270124', '18270121', '18270124', '18270124', '18270124', '18270124', '18270124', '18270124', '18270124', '18270124']]",14,12.0,18270124,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[2438089.0, 2436939.0, 2335085.0, 1243179.0, 2425893.0, 474239.0, 1926730.0, nan, nan, nan, nan, nan, nan, nan]",3.6.0
73228945,20989,T0,text_reducer,"[['18190208', '18190208', '18190208']]",3,3.0,18190208,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228946,20989,T0,text_reducer,"[['18181212', '18181212']]",2,2.0,18181212,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228947,20989,T0,text_reducer,"[['18251205', '18251205']]",2,2.0,18251205,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228948,20989,T0,text_reducer,"[['18190320', '18190320', '18190320']]",3,3.0,18190320,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73228949,20989,T0,text_reducer,"[['18210208', '18210208']]",2,2.0,18210208,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228951,20989,T0,text_reducer,"[['18201204', '18201204', '18201204']]",3,3.0,18201204,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228952,20989,T0,text_reducer,"[['18220325', '18220325', '18220325']]",3,3.0,18220325,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228954,20989,T0,text_reducer,"[['18201023', '18201023']]",2,2.0,18201023,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228955,20989,T0,text_reducer,"[['18310211', '18310211', '18310211']]",3,3.0,18310211,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228956,20989,T0,text_reducer,"[['18160118', '18160118', '18160118', '18160118', '18160118', '18160118', '18160118', '18160118']]",8,8.0,18160118,"[False, False, False, False, False, False, False, False]","[2425893.0, 2335085.0, 2438089.0, 1243179.0, 2436939.0, 474239.0, 1926730.0, nan]",3.6.0
73228958,20989,T0,text_reducer,"[['18221209', '18221209']]",2,2.0,18221209,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228959,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(Feb', ''], ['15)', '']]",2,1.25,no year (Feb 15),"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228960,20989,T0,text_reducer,"[['18261106', '18261106']]",2,2.0,18261106,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228961,20989,T0,text_reducer,"[['18311125', '18311125', '18311125', '18311125']]",4,4.0,18311125,"[False, False, False, False]","[2425893.0, 2335085.0, 1243179.0, 474239.0]",3.6.0
73228963,20989,T0,text_reducer,"[['18310201', '18310201']]",2,2.0,18310201,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228964,20989,T0,text_reducer,"[['18311027', '18311027']]",2,2.0,18311027,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228966,20989,T0,text_reducer,"[['18190301', '18190301', '18190301', '18190301']]",4,4.0,18190301,"[False, False, False, False]","[2425893.0, 2335085.0, nan, 1926730.0]",3.6.0
73228967,20989,T0,text_reducer,"[['18311008', '18311008']]",2,2.0,18311008,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228968,20989,T0,text_reducer,"[['18240405', '18240405', '18240405']]",3,3.0,18240405,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228969,20989,T0,text_reducer,"[['18160219', '18160219']]",2,2.0,18160219,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228970,20989,T0,text_reducer,"[['18181117', '18181117']]",2,2.0,18181117,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228973,20989,T0,text_reducer,"[['18270327', '18270327']]",2,2.0,18270327,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228975,20989,T0,text_reducer,"[['18270212', '18270212']]",2,2.0,18270212,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228976,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(November', ''], ['30)', '']]",2,1.25,no year (November 30),"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228977,20989,T0,text_reducer,"[['18310219', '18310219']]",2,2.0,18310219,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228978,20989,T0,text_reducer,"[['18160111', '18160111', '18160111']]",3,3.0,18160111,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228980,20989,T0,text_reducer,"[['18290323', '18290223', '18290323']]",3,2.0,18290323,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73228981,20989,T0,text_reducer,[['18181229']],1,1.0,18181229,[False],[2425893.0],3.6.0
73228982,20989,T0,text_reducer,"[['18160311', '18160311', '18160311']]",3,3.0,18160311,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228984,20989,T0,text_reducer,"[['18221216', '18221216']]",2,2.0,18221216,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228985,20989,T0,text_reducer,"[['18311122', '18311122']]",2,2.0,18311122,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228986,20989,T0,text_reducer,"[['18220302', '18220225', '18220302', '18220225']]",4,2.0,18220302,"[False, False, False, False]","[2425893.0, 2335085.0, 1243179.0, 474239.0]",3.6.0
73228988,20989,T0,text_reducer,"[['no', 'no', 'No'], ['year', 'year', 'year'], ['(March', '', ''], ['10)', '', '']]",3,1.75,no year (March 10),"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228989,20989,T0,text_reducer,"[['18260206', '18260206', '18260206']]",3,3.0,18260206,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73228990,20989,T0,text_reducer,"[['18311107', '18311107']]",2,2.0,18311107,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228991,20989,T0,text_reducer,"[['18311208', '18311208']]",2,2.0,18311208,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228992,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(Jan', ''], ['18)', '']]",2,1.25,no year (Jan 18),"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228993,20989,T0,text_reducer,"[['18201114', '18201114']]",2,2.0,18201114,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228995,20989,T0,text_reducer,"[['no', 'No'], ['date', 'year']]",2,1.0,no date,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228996,20989,T0,text_reducer,"[['18170310', '18170310', '18170310']]",3,3.0,18170310,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73228997,20989,T0,text_reducer,"[['18260213', '18260213']]",2,2.0,18260213,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228998,20989,T0,text_reducer,"[['18190219', '18190219']]",2,2.0,18190219,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73228999,20989,T0,text_reducer,"[['18201215', '18201215', '18201215']]",3,3.0,18201215,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229001,20989,T0,text_reducer,"[['18180108', '18180108']]",2,2.0,18180108,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229002,20989,T0,text_reducer,"[['18190330', '18190330', '18190330']]",3,3.0,18190330,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229003,20989,T0,text_reducer,"[['18190118', '18190118', '18190118', '18190118']]",4,4.0,18190118,"[False, False, False, False]","[1926730.0, 2425893.0, 1243179.0, 2335085.0]",3.6.0
73229004,20989,T0,text_reducer,"[['18190115', '18190115', '18190115']]",3,3.0,18190115,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73229005,20989,T0,text_reducer,"[['18190225', '18190225']]",2,2.0,18190225,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229006,20989,T0,text_reducer,"[['18311222', '18311222', '18311222']]",3,3.0,18311222,"[False, False, False]","[2425893.0, 2335085.0, 1243179.0]",3.6.0
73229007,20989,T0,text_reducer,"[['18281117', '18281117', '18281117']]",3,3.0,18281117,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229008,20989,T0,text_reducer,"[['18190114', '18190114', '18190114']]",3,3.0,18190114,"[False, False, False]","[2425893.0, 2335085.0, 1243179.0]",3.6.0
73229009,20989,T0,text_reducer,"[['18290316', '18290316']]",2,2.0,18290316,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229010,20989,T0,text_reducer,"[['18220218', '18220218', '18220218']]",3,3.0,18220218,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229011,20989,T0,text_reducer,"[['18210219', '18210219', '18210219', '18210219', '18210219']]",5,5.0,18210219,"[False, False, False, False, False]","[2425893.0, 2335085.0, 1243179.0, 474239.0, nan]",3.6.0
73229012,20989,T0,text_reducer,"[['18260227', '18260227']]",2,2.0,18260227,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229014,20989,T0,text_reducer,"[['18211218', '18211218', '18211218']]",3,3.0,18211218,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73229015,20989,T0,text_reducer,"[['18211103', '18211103', '18211103']]",3,3.0,18211103,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73229018,20989,T0,text_reducer,"[['18240112', '18240112', '18240112']]",3,3.0,18240112,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229020,20989,T0,text_reducer,"[['18311129', '18311129']]",2,2.0,18311129,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229021,20989,T0,text_reducer,"[['18311018', '18311018']]",2,2.0,18311018,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229022,20989,T0,text_reducer,"[['18180105', '18180105']]",2,2.0,18180105,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229025,20989,T0,text_reducer,"[['18311124', '18311124']]",2,2.0,18311124,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229026,20989,T0,text_reducer,"[['no', '18270115'], ['date', '']]",2,1.0,no date,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229027,20989,T0,text_reducer,"[['18190113', '18190113', '18190113']]",3,3.0,18190113,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73229030,20989,T0,text_reducer,"[['18310326', '18310326', '18310326']]",3,3.0,18310326,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73229032,20989,T0,text_reducer,"[['18211210', '18211210', '18211210']]",3,3.0,18211210,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73229033,20989,T0,text_reducer,"[['18310308', '18310308', '18310308']]",3,3.0,18310308,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73229034,20989,T0,text_reducer,"[['18311111', '18311111']]",2,2.0,18311111,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229035,20989,T0,text_reducer,"[['18310208', '18310208', '18310208']]",3,3.0,18310208,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229036,20989,T0,text_reducer,"[['18310118', '18310118', '18310118']]",3,3.0,18310118,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73229037,20989,T0,text_reducer,"[['18250214', '18250214']]",2,2.0,18250214,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229038,20989,T0,text_reducer,"[['18210212', '18210212']]",2,2.0,18210212,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229039,20989,T0,text_reducer,"[['18310128', '18310128', '18310128']]",3,3.0,18310128,"[False, False, False]","[1926730.0, 2425893.0, 2335085.0]",3.6.0
73229040,20989,T0,text_reducer,"[['18190108', '18190108', '18190108']]",3,3.0,18190108,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73229042,20989,T0,text_reducer,"[['18310217', '18310217']]",2,2.0,18310217,"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229046,20989,T0,text_reducer,"[['18190220', '18190220', '18190220', '18190220', '18190220', '18199229', '18190220', '18190220']]",8,7.0,18190220,"[False, False, False, False, False, False, False, False]","[2425893.0, 2335085.0, 2438089.0, 1243179.0, 474239.0, 2436939.0, 1926730.0, nan]",3.6.0
73229048,20989,T0,text_reducer,"[['unclear', 'unclear', '18311116'], ['(scratched', '', ''], ['paper', '', ''], ['over', '', ''], ['date)', '', '']]",3,1.2,unclear (scratched paper over date),"[False, False, False]","[2425893.0, 1243179.0, 2335085.0]",3.6.0
73229050,20989,T0,text_reducer,"[['18210226', '18210226', '18210226']]",3,3.0,18210226,"[False, False, False]","[2425893.0, 2335085.0, 1926730.0]",3.6.0
73229051,20989,T0,text_reducer,"[['18311006', '18311006', '18311006']]",3,3.0,18311006,"[False, False, False]","[2425893.0, 1926730.0, 2335085.0]",3.6.0
73229053,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(Dec', ''], ['26)', '']]",2,1.25,no year (Dec 26),"[False, False]","[2425893.0, 1926730.0]",3.6.0
73229054,20989,T0,text_reducer,"[['no', 'No'], ['year', 'year'], ['(Nov', ''], ['28)', '']]",2,1.25,no year (Nov 28),"[False, False]","[2425893.0, 1926730.0]",3.6.0
